pr	sha	verdict	evidence	verifier	ts
3	ad0d909eee3bd4b645954069cffd352020bc9ac3	live-ui-verified	/opt/cursor/artifacts/stencil_divider_before.png	coordinator-receipt	2026-08-30T21:03:11.275Z
3	d3d2baa45c118ff183ef52501e82ac865f53a646	verifier-failed	/workspace/.audit/orchestrate/stencil-to-mitosis/reports/fitness-divider.md	coordinator-receipt	2026-08-30T21:11:17.772Z
3	efd4b7f2b04661a1b8757b5f16ac50e2f377b178	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_divider_after.png	coordinator-byte-equal-png	2026-08-30T21:31:04.657Z
3	2cbcee0ebe22bd6c3f4fcbe3ee8e5341a5923f99	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_crest_after.png	coordinator-byte-equal-png	2026-08-30T21:38:06.734Z
3	adcb403aa5617fafce8206125dc84cbf5fc451b1	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_wordmark_after.png	coordinator-byte-equal-png	2026-08-30T21:42:06.265Z
3	4edd6127ec542c2b7b5310e7501a8e7f2997cae8	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_flag_after.png	coordinator-byte-equal-png	2026-08-30T21:51:12.288Z
3	3ab704f859	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_model_signature_after.png	coordinator-byte-equal-png	2026-08-30T21:57:25.184Z
3	d702e8eb4f	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_icon_after.png	coordinator-byte-equal-png	2026-08-30T22:01:26.766Z
3	0fe05aaab6	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_heading_after.png	coordinator-byte-equal-png	2026-08-30T22:06:22.642Z
3	fa008afa41	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_text_after.png	coordinator-byte-equal-png	2026-08-30T22:09:38.651Z
3	6825564b24	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_display_after.png	coordinator-byte-equal-png	2026-08-30T22:14:10.282Z
3	d04025d34b	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_spinner_after.png	coordinator-byte-equal-png	2026-08-30T22:18:36.094Z
3	4ece9a7b58	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_tag_after.png	coordinator-byte-equal-png	2026-08-30T22:23:30.113Z
3	c81276e448	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_tag_dismissible_after.png	coordinator-byte-equal-png	2026-08-30T22:26:26.194Z
3	76d8e86f32	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_link_pure_after.png	coordinator-byte-equal-png	2026-08-30T22:33:43.636Z
3	5e0e89280c	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_link_after.png	coordinator-byte-equal-png	2026-08-30T22:38:16.242Z
3	6baa018a19	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_button_pure_after.png	coordinator-byte-equal-png	2026-08-30T22:42:48.200Z
3	be67982f60	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_button_after.png	coordinator-byte-equal-png	2026-08-30T22:48:40.354Z
3	21f0480a7a	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_switch_after.png	coordinator-byte-equal-png	2026-08-30T22:52:05.410Z
3	1c30147f75	live-ui-verified	/opt/cursor/artifacts/mitosis_lit_checkbox_after.png	coordinator-byte-equal-png	2026-08-30T22:57:18.433Z
